region_aggregation_id,region_type,region
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
england,county,
wales,county,isle of anglesey
wales,county,gwynedd
wales,county,conwy
wales,county,denbighshire
wales,county,flintshire
wales,county,wrexham
wales,county,powys
wales,county,ceredigion
wales,county,pembrokeshire
wales,county,carmarthenshire
wales,county,swansea
wales,county,neath port talbot
wales,county,bridgend
wales,county,the vale of glamorgan
wales,county,"rhondda, cynon, taff"
wales,county,merthyr tydfil
wales,county,caerphilly
wales,county,blaenau gwent
wales,county,torfaen
wales,county,monmouthshire
wales,county,newport
wales,county,cardiff
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
wales,county,
northern ireland,county,tyrone
northern ireland,county,londonderry
northern ireland,county,fermanagh
northern ireland,county,down
northern ireland,county,antrim
northern ireland,county,armagh
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
northern ireland,county,
scotland,county,aberdeen city
scotland,county,aberdeenshire
scotland,county,angus
scotland,county,argyll and bute
scotland,county,city of edinburgh
scotland,county,clackmannanshire
scotland,county,dumfries and galloway
scotland,county,dundee city
scotland,county,east ayrshire
scotland,county,east dunbartonshire
scotland,county,east lothian
scotland,county,east renfrewshire
scotland,county,falkirk
scotland,county,fife
scotland,county,glasgow city
scotland,county,highland
scotland,county,inverclyde
scotland,county,midlothian
scotland,county,moray
scotland,county,na h-eileanan siar
scotland,county,north ayrshire
scotland,county,north lanarkshire
scotland,county,orkney islands
scotland,county,perth and kinross
scotland,county,renfrewshire
scotland,county,scottish borders
scotland,county,shetland islands
scotland,county,south ayrshire
scotland,county,south lanarkshire
scotland,county,stirling
scotland,county,west dunbartonshire
scotland,county,west lothian
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
scotland,county,
