region_aggregation_id,region_type,region
england,fine,3136
england,fine,3137
england,fine,3138
england,fine,3139
england,fine,3189
england,fine,3190
england,fine,3191
england,fine,3193
england,fine,3194
england,fine,3195
england,fine,3196
england,fine,3197
england,fine,3198
england,fine,3250
england,fine,3251
england,fine,3254
england,fine,3255
england,fine,3256
england,fine,3257
england,fine,3258
england,fine,3314
england,fine,3315
england,fine,3316
england,fine,3317
england,fine,3318
wales,fine,1513
wales,fine,1572
wales,fine,1573
wales,fine,1574
wales,fine,1632
wales,fine,1633
wales,fine,1634
wales,fine,1692
wales,fine,1693
wales,fine,1694
wales,fine,1695
wales,fine,1698
wales,fine,1700
wales,fine,1753
wales,fine,1754
wales,fine,1755
wales,fine,1758
wales,fine,1759
wales,fine,1760
wales,fine,1761
wales,fine,1812
wales,fine,1813
wales,fine,1814
wales,fine,1815
wales,fine,1816
wales,fine,1817
wales,fine,1818
wales,fine,1819
wales,fine,1820
wales,fine,1821
wales,fine,1872
wales,fine,1873
wales,fine,1874
wales,fine,1875
wales,fine,1876
wales,fine,1877
wales,fine,1878
wales,fine,1879
wales,fine,1880
wales,fine,1931
wales,fine,1932
wales,fine,1933
wales,fine,1934
wales,fine,1935
wales,fine,1936
wales,fine,1937
wales,fine,1938
wales,fine,1939
wales,fine,1940
wales,fine,1991
wales,fine,1992
wales,fine,1993
wales,fine,1994
wales,fine,1995
wales,fine,1996
wales,fine,1997
wales,fine,1998
wales,fine,1999
wales,fine,2000
wales,fine,2051
wales,fine,2052
wales,fine,2053
wales,fine,2054
wales,fine,2055
wales,fine,2056
wales,fine,2057
wales,fine,2058
wales,fine,2059
wales,fine,2060
wales,fine,2111
wales,fine,2112
wales,fine,2113
wales,fine,2114
wales,fine,2115
wales,fine,2116
wales,fine,2117
wales,fine,2118
wales,fine,2119
wales,fine,2120
wales,fine,2172
wales,fine,2173
wales,fine,2174
wales,fine,2178
wales,fine,2179
wales,fine,2180
wales,fine,2232
wales,fine,2233
northern ireland,fine,805
northern ireland,fine,806
northern ireland,fine,865
northern ireland,fine,866
northern ireland,fine,867
northern ireland,fine,924
northern ireland,fine,925
northern ireland,fine,926
northern ireland,fine,927
northern ireland,fine,984
northern ireland,fine,985
northern ireland,fine,986
northern ireland,fine,987
northern ireland,fine,988
northern ireland,fine,1044
northern ireland,fine,1045
northern ireland,fine,1046
northern ireland,fine,1047
northern ireland,fine,1048
northern ireland,fine,1104
northern ireland,fine,1105
northern ireland,fine,1106
northern ireland,fine,1107
northern ireland,fine,1108
northern ireland,fine,1109
northern ireland,fine,1164
northern ireland,fine,1165
northern ireland,fine,1166
northern ireland,fine,1167
northern ireland,fine,1168
northern ireland,fine,1169
northern ireland,fine,1224
northern ireland,fine,1225
northern ireland,fine,1226
northern ireland,fine,1227
northern ireland,fine,1228
northern ireland,fine,1229
northern ireland,fine,1284
northern ireland,fine,1285
northern ireland,fine,1286
northern ireland,fine,1287
northern ireland,fine,1288
northern ireland,fine,1289
northern ireland,fine,1343
northern ireland,fine,1344
northern ireland,fine,1345
northern ireland,fine,1346
northern ireland,fine,1347
northern ireland,fine,1348
northern ireland,fine,1349
northern ireland,fine,1404
northern ireland,fine,1405
northern ireland,fine,1406
northern ireland,fine,1407
northern ireland,fine,1408
northern ireland,fine,1464
northern ireland,fine,1465
northern ireland,fine,1466
northern ireland,fine,1467
northern ireland,fine,1525
northern ireland,fine,1526
scotland,fine,1121
scotland,fine,1122
scotland,fine,1123
scotland,fine,1181
scotland,fine,1182
scotland,fine,1183
scotland,fine,1184
scotland,fine,1242
scotland,fine,1243
scotland,fine,1244
scotland,fine,1302
scotland,fine,1303
scotland,fine,1304
scotland,fine,1305
scotland,fine,1356
scotland,fine,1363
scotland,fine,1364
scotland,fine,1365
scotland,fine,1409
scotland,fine,1410
scotland,fine,1415
scotland,fine,1416
scotland,fine,1417
scotland,fine,1418
scotland,fine,1419
scotland,fine,1420
scotland,fine,1421
scotland,fine,1422
scotland,fine,1469
scotland,fine,1470
scotland,fine,1471
scotland,fine,1472
scotland,fine,1473
scotland,fine,1474
scotland,fine,1475
scotland,fine,1476
scotland,fine,1477
scotland,fine,1478
scotland,fine,1479
scotland,fine,1480
scotland,fine,1481
scotland,fine,1482
scotland,fine,1530
scotland,fine,1531
scotland,fine,1532
scotland,fine,1533
scotland,fine,1534
scotland,fine,1535
scotland,fine,1536
scotland,fine,1537
scotland,fine,1538
scotland,fine,1539
scotland,fine,1540
scotland,fine,1541
scotland,fine,1542
scotland,fine,1543
scotland,fine,1544
scotland,fine,1587
scotland,fine,1588
scotland,fine,1592
scotland,fine,1593
scotland,fine,1594
scotland,fine,1595
scotland,fine,1596
scotland,fine,1597
scotland,fine,1598
scotland,fine,1599
scotland,fine,1600
scotland,fine,1601
scotland,fine,1602
scotland,fine,1603
scotland,fine,1604
scotland,fine,1605
scotland,fine,1646
scotland,fine,1647
scotland,fine,1648
scotland,fine,1649
scotland,fine,1650
scotland,fine,1651
scotland,fine,1652
scotland,fine,1653
scotland,fine,1654
scotland,fine,1655
scotland,fine,1656
scotland,fine,1657
scotland,fine,1658
scotland,fine,1659
scotland,fine,1660
scotland,fine,1661
scotland,fine,1662
scotland,fine,1663
scotland,fine,1664
scotland,fine,1665
scotland,fine,1707
scotland,fine,1708
scotland,fine,1709
scotland,fine,1710
scotland,fine,1711
scotland,fine,1712
scotland,fine,1713
scotland,fine,1714
scotland,fine,1715
scotland,fine,1716
scotland,fine,1717
scotland,fine,1718
scotland,fine,1719
scotland,fine,1720
scotland,fine,1721
scotland,fine,1722
scotland,fine,1723
scotland,fine,1724
scotland,fine,1725
scotland,fine,1767
scotland,fine,1768
scotland,fine,1769
scotland,fine,1770
scotland,fine,1771
scotland,fine,1772
scotland,fine,1773
scotland,fine,1774
scotland,fine,1775
scotland,fine,1776
scotland,fine,1777
scotland,fine,1778
scotland,fine,1779
scotland,fine,1780
scotland,fine,1781
scotland,fine,1782
scotland,fine,1783
scotland,fine,1784
scotland,fine,1785
scotland,fine,1827
scotland,fine,1828
scotland,fine,1829
scotland,fine,1830
scotland,fine,1831
scotland,fine,1832
scotland,fine,1833
scotland,fine,1834
scotland,fine,1835
scotland,fine,1836
scotland,fine,1837
scotland,fine,1838
scotland,fine,1839
scotland,fine,1840
scotland,fine,1841
scotland,fine,1842
scotland,fine,1843
scotland,fine,1844
scotland,fine,1845
scotland,fine,1887
scotland,fine,1888
scotland,fine,1889
scotland,fine,1890
scotland,fine,1891
scotland,fine,1892
scotland,fine,1893
scotland,fine,1894
scotland,fine,1895
scotland,fine,1896
scotland,fine,1897
scotland,fine,1898
scotland,fine,1899
scotland,fine,1900
scotland,fine,1901
scotland,fine,1902
scotland,fine,1903
scotland,fine,1904
scotland,fine,1905
scotland,fine,1947
scotland,fine,1948
scotland,fine,1949
scotland,fine,1950
scotland,fine,1951
scotland,fine,1952
scotland,fine,1953
scotland,fine,1954
scotland,fine,1955
scotland,fine,1956
scotland,fine,1957
scotland,fine,1958
scotland,fine,1959
scotland,fine,1960
scotland,fine,1961
scotland,fine,1962
scotland,fine,1963
scotland,fine,1964
scotland,fine,1965
scotland,fine,2007
scotland,fine,2008
scotland,fine,2009
scotland,fine,2010
scotland,fine,2011
scotland,fine,2012
scotland,fine,2013
scotland,fine,2014
scotland,fine,2015
scotland,fine,2016
scotland,fine,2017
scotland,fine,2018
scotland,fine,2019
scotland,fine,2020
scotland,fine,2021
scotland,fine,2023
scotland,fine,2024
scotland,fine,2025
scotland,fine,2068
scotland,fine,2069
scotland,fine,2070
scotland,fine,2071
scotland,fine,2072
scotland,fine,2073
scotland,fine,2074
scotland,fine,2075
scotland,fine,2076
scotland,fine,2077
scotland,fine,2078
scotland,fine,2079
scotland,fine,2080
scotland,fine,2081
scotland,fine,2083
scotland,fine,2084
scotland,fine,2085
scotland,fine,2087
scotland,fine,2088
scotland,fine,2128
scotland,fine,2129
scotland,fine,2130
scotland,fine,2131
scotland,fine,2132
scotland,fine,2133
